Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10000,25290,25040,29852,29876,39495,5000,44315,0.000%,37.64323,6.21,4.74
TOTAL,10000,25290,25040,29852,29876,39495,5000,44315,0.000%,37.64323,6.21,4.74
