Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10000,5002,5002,5004,5005,5007,5000,5020,0.000%,195.94780,32.53,24.88
TOTAL,10000,5002,5002,5004,5005,5007,5000,5020,0.000%,195.94780,32.53,24.88
